DEPTH,GR,RHOB,VP,VS
817.421286,94.4402,2.5085,2.835348746,1.3233497
817.585328,91.5304,2.5099,2.811727619,1.330974101
817.74937,87.1699,2.5066,2.788494261,1.310640744
817.913412,91.3423,2.5047,2.765644221,1.292475571
818.077454,93.6039,2.4912,2.753870057,1.274807044
818.241496,95.4487,2.4786,2.753870057,1.257615071
818.405538,102.1418,2.472,2.791280273,1.240880627
818.56958,109.1143,2.463,2.843543442,1.224585689
818.733622,112.2007,2.454,2.890606385,1.253389416
818.897664,105.0906,2.4474,2.890606385,1.283580779
819.061706,99.313,2.4587,2.890606385,1.315262527
819.225748,97.4861,2.4677,2.890606385,1.357794378
819.38979,98.2442,2.4786,2.923264218,1.412343597
819.553832,105.698,2.474,2.974799023,1.47145858
819.717874,108.0343,2.4682,3.028180461,1.535739141
819.881916,102.808,2.4932,3.073748695,1.593234765
820.045958,93.1679,2.5172,3.281667775,1.564337167
820.21,83.0537,2.5516,3.281667775,1.550793791
820.374042,79.0268,2.562,3.281667775,1.628897706
820.538084,77.8792,2.5661,3.25233431,1.589368285
820.702126,76.0067,2.5721,3.211074311,1.535793308
820.866168,75,2.5776,3.174308825,1.485711676
821.03021,79.1347,2.5581,3.081885231,1.438793859
821.194252,83.1975,2.5401,3.001485876,1.394748599
821.358294,87.2603,2.5221,2.925171933,1.353319319
821.522336,91.3231,2.4995,2.834312575,1.314280818
821.686378,95.3859,2.4891,2.850039041,1.272776734
821.85042,100.1678,2.4852,2.871594953,1.280240281
822.014462,97.8272,2.4807,2.893479421,1.288932771
822.178504,95.1342,2.4762,2.915700014,1.29543364
822.342546,93.2174,2.4734,2.938264537,1.329757604
822.506588,91.3973,2.4873,2.942025212,1.358301438
822.67063,89.5772,2.4995,2.928409515,1.394748599
822.834672,87.0805,2.499,2.914922051,1.381640545
822.998714,90.1007,2.4983,2.901555495,1.365245761
823.162756,93.1208,2.4976,2.890606385,1.349234903
823.326798,92.1443,2.497,2.906189481,1.33359581
823.49084,91.0067,2.4963,2.919598864,1.324915499
823.654882,89.8691,2.4956,2.933132565,1.353375203
823.818924,89.094,2.495,2.949178819,1.373945212
823.982966,86.844,2.4943,2.958671687,1.395149522
824.147008,85.7617,2.5029,2.970244833,1.415089695
824.31105,85.0671,2.5118,2.979364287,1.394509942
824.475092,87.0604,2.5208,2.947687161,1.376097663
824.639134,89.62,2.5359,2.922162806,1.358165862
824.803176,92.1795,2.5203,2.890606385,1.340694796
824.967218,94.1275,2.5115,2.890606385,1.323667507
825.13126,93.0705,2.4995,2.890606385,1.307067859
825.295302,92.2173,2.4845,2.975556992,1.397258797
825.459344,91.1074,2.4734,3.041630728,1.47235205
825.623386,90.4711,2.4891,3.041630728,1.458364786
825.787428,89.5611,2.503,3.037820167,1.447459041
825.95147,88.651,2.5151,3.030546982,1.436715193
826.115512,87.7409,2.5151,3.023305543,1.426129664
826.279554,87.0805,2.5078,3.016101612,1.415698979
826.443596,90.1007,2.4998,3.00893193,1.405419767
826.607638,88.8362,2.4943,3.001793298,1.395288111
826.77168,87.9262,2.4911,2.994691401,1.385302118
826.935722,87.0161,2.4888,2.987623029,1.375458047
827.099764,86.0738,2.4864,2.979364287,1.365752895
827.263806,88.0872,2.4839,3.0204833,1.355770522
827.427848,87.4732,2.4953,3.071803306,1.415606271
827.59189,87.0805,2.5073,3.124894173,1.484081137
827.755932,84.1007,2.5193,3.179855803,1.559517973
827.919974,81.0403,2.5313,3.185162558,1.584561907
828.084016,81.5369,2.5464,3.13583463,1.567833439
828.248058,82.2953,2.5393,3.088014393,1.541105451
828.4121,83.0537,2.5297,3.041630728,1.515273491
828.576142,83.8121,2.5201,3.029495742,1.490292515
828.740184,84.5705,2.5105,3.017457201,1.466122564
828.904226,85.0671,2.5047,3.005513957,1.44272409
829.068268,84.047,2.4924,2.993664885,1.420060736
829.23231,83.0537,2.4888,2.979364287,1.398097753
829.396352,83.8389,2.4852,2.988542843,1.374983378
829.560394,85.0671,2.4816,3.000351323,1.398097753
829.724436,84.1365,2.4786,3.010177028,1.424322315
829.888478,83.1253,2.4901,3.08556043,1.451549487
830.05252,82.1141,2.4998,3.152818507,1.479837171
830.216562,81.1029,2.5095,3.245083562,1.50925005
830.380604,80.0917,2.5193,3.245083562,1.539855069
830.544646,79.0805,2.529,3.191960514,1.571727824
830.708688,78.0694,2.5387,3.12993535,1.602003083
830.87273,77.0134,2.5464,3.070274746,1.54873086
831.036772,77.557,2.5427,3.012846015,1.502756979
831.200814,78.0201,2.5326,2.957526218,1.459433168
831.364856,81.6817,2.5099,2.890606385,1.418538032
831.528898,84.7694,2.5037,2.901491967,1.379871666
831.69294,87.8571,2.4953,2.916347239,1.343257886
831.856982,90.9449,2.4869,2.931358227,1.312963404
832.021024,94.0326,2.4785,2.946524544,1.344498628
832.185066,97.1477,2.4734,2.961848612,1.373685761
832.349108,94.047,2.4748,2.977332906,1.404167587
832.51315,90.9186,2.4758,2.992979952,1.436033561
832.677192,87.7903,2.4768,3.010177028,1.469378735
832.841234,86.844,2.4778,3.056641027,1.504310037
833.005276,88.5503,2.4786,3.109207767,1.540942615
833.169318,90.2567,2.4907,3.163614183,1.579403041
833.33336,92.1141,2.501,3.245083562,1.619833341
833.497402,89.8674,2.5112,3.245083562,1.675785938
833.661444,87.4027,2.5215,3.195212949,1.634909778
833.825486,84.9379,2.5318,3.126153746,1.579525812
833.989528,82.4732,2.5411,3.060016588,1.527770489
834.15357,79.0268,2.5249,3.010177028,1.479299945
834.317612,78.3423,2.5099,2.939253405,1.433810409
834.481654,77.0134,2.4891,2.862184052,1.374983378
834.645696,81.745,2.4786,2.862184052,1.364456141
834.809738,87.0805,2.4831,2.862184052,1.34750687
834.97378,86.4765,2.4891,2.919598864,1.330974101
835.137822,86.0738,2.4851,3.01524231,1.398378057
835.301864,91.953,2.4811,3.117364377,1.472973213
835.465906,93.5336,2.4786,3.226646407,1.555974448
835.629948,92.396,2.5078,3.289083117,1.6488893
835.79399,91.1074,2.5288,3.303391723,1.778155235
835.958032,84.2013,2.5497,3.319086274,1.676751142
836.122074,76.2383,2.5707,3.250974495,1.562866888
836.286116,69.9664,2.588,3.179507513,1.479837171
836.450158,72.0352,2.564,3.11111827,1.510747673
836.6142,76.2214,2.5436,3.073748695,1.538115235
836.778242,83.532,2.5231,3.127812289,1.56649263
836.942284,92.1141,2.4995,3.166628125,1.595936803
837.106326,90.2013,2.5104,3.206422842,1.626509058
837.270368,88.0872,2.5234,3.247230481,1.658276395
837.43441,83.8926,2.5363,3.281667775,1.691308407
837.598452,80.0336,2.5493,3.257064349,1.715286082
837.762494,77.4664,2.5622,3.245083562,1.587240369
837.926536,76.0067,2.5776,3.162019151,1.500935821
838.090578,79.8574,2.558,3.106071006,1.408243725
838.25462,85.0671,2.5339,3.05206831,1.457606695
838.418662,83.9094,2.5151,2.999911324,1.413440626
838.582704,82.7517,2.5176,2.949504161,1.368004362
838.746746,81.594,2.5203,2.900765736,1.337087782
838.910788,82.3993,2.5088,2.853611862,1.278366334
839.07483,85.0042,2.4906,2.807966502,1.204319391
839.238872,87.6091,2.4725,2.753870057,1.211739041
839.402914,90.1007,2.4578,2.753870057,1.223350545
839.566956,90.5034,2.459,2.753870057,1.235186235
839.730998,90.8893,2.46,2.753870057,1.245545745
839.89504,91.2752,2.461,2.753870057,1.231840617
840.059082,91.6611,2.462,2.753870057,1.22006865
840.223124,92.1141,2.463,2.753870057,1.22444155
840.387166,91.6359,2.4722,2.788052994,1.244735968
840.551208,91.1074,2.4786,2.843949379,1.265714461
